Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
Thailand,PHU CHEE DEUN COFFEE FARMER,1,Mogojubean,,PHU CHEE DEUN COFFEE FARMER,1450,North,PHU CHEE DEUN COFFEE FARMER,1,8 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"July 8th, 2025",Phongsathorn Khunta,Gesha,Completed,Natural / Dry,8.25,8.5,8.33,8.25,8.17,8.17,10.0,10.0,10.0,8.33,0.0,88.0,11.1 %,0 full defects,0,Green Fresh,0 full defects,,"July 8th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Thailand,Natee coffee estate,#G2025001,Natee coffee estate,,Natee coffee estate,1350-1400,Chaing Rai,Natee Santiphoomsawan,1,7 kg,SOCOF Lab,2024 / 2025,"October 2nd, 2025",Natee Santiphoomsawan,Gesha,Completed,Natural / Dry,8.42,8.42,8.17,8.17,8.08,8.17,10.0,10.0,10.0,8.25,0.0,87.67,9.7 %,0 full defects,0,Green,0 full defects,,"October 2nd, 2026",SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446
Thailand,Ma Gor Loe Coffee Farm,2,Hulling Facility,,Ma Gor Loe Coffee Farm,1200,Chiangmai,Chaloempong Funna,1,8 kg,Specialty Coffee Institute of Thailand,2025,"August 26th, 2025",Chaloempong Funna,Gesha,Completed,Natural / Dry,8.25,8.33,8.25,8.17,8.17,8.25,10.0,10.0,10.0,8.25,0.0,87.67,12.9 %,0 full defects,0,Yellowish,0 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Thailand,Slowna,2025012,"Gemforestcoffee LTD.,Part",,SlownaCoffee,1400,Nan,Pornpipat,1,7 kg,SOCOF Lab,2024 / 2025,"October 2nd, 2025",Pornpipat,Catimor,Completed,Natural / Dry,8.33,8.33,8.08,8.25,8.08,8.08,10.0,10.0,10.0,8.33,0.0,87.5,10.9 %,0 full defects,0,Brownish,0 full defects,,"October 2nd, 2026",SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446
Thailand,V Saking,#1225,"Gemforestcoffee LTD.,Part",,Nan Saking Coffee,1200,Nan,Mrs.Pimpha,1,7 kg,SOCOF Lab,2020 / 2021,"October 2nd, 2025",Pimpha,Gesha,Completed,Washed / Wet,8.33,8.25,8.08,8.08,8.25,8.25,10.0,10.0,10.0,8.25,0.0,87.5,9.5 %,0 full defects,0,Green,3 full defects,,"October 2nd, 2026",SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446
Thailand,Ma Gor Loe Coffee Farm,1,Hulling Facility,,Ma Gor Loe Coffee Farm,1200,Chiangmai,Chaloempong Funna,1,8 kg,Specialty Coffee Institute of Thailand,2025,"July 8th, 2025",Parichat Saensong,Gesha,Completed,Natural / Dry,8.17,8.25,8.0,8.33,8.08,8.17,10.0,10.0,10.0,8.5,0.0,87.5,12.2 %,0 full defects,0,Green,0 full defects,,"July 8th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Thailand,Ban phuvaeview,2025004,Manipruek,,Baan phuvaeview,1480,Nan,Kanjana inja,1,8 kg,SOCOF Lab,2024 / 2025,"October 2nd, 2025",Kanjana inja,Gesha,Completed,Natural / Dry,8.33,8.33,8.17,8.08,7.92,8.17,10.0,10.0,10.0,8.42,0.0,87.42,10 %,0 full defects,0,Yellow-Green,0 full defects,,"October 2nd, 2026",SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446
Ethiopia,Abera Farm,2,Abera Milling staion,010/0398,Abebe mulgeta Genet Trading,1800-2200,SNNP Gedeo Zone,Abera Hailemariyam,1600,96000 kg,METAD Agricultural Development plc,2024 / 2025,"April 8th, 2025",Abebe Mulgeta,Ethiopian Yirgacheffe,Completed,Natural / Dry,8.0,8.25,8.17,8.33,8.33,8.0,10.0,10.0,10.0,8.08,0.0,87.17,8.9 %,0 full defects,3,Yellow green,1 full defects,,"April 8th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
Taiwan,卓武山咖啡,C09,卓武山咖啡,,Taiwan Coffee Laboratory,1200,嘉義/阿里山鄉,許峻榮,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.17,8.25,8.17,8.17,8.08,8.08,10.0,10.0,10.0,8.25,0.0,87.17,9.1 %,0 full defects,0,Bluish-Green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Ethiopia,Nefarious Silk - Lafto,Natural Gesha gr.1 2025-P0099,Woreda 02 Addis Abeba,01021260004,Daarnhouwer,1100,Bench Maji,South BurshaTrading PLC,100,30 kg,METAD Agricultural Development plc,2024 / 2025,"April 17th, 2025",Hans Zevenhek,Gesha,Completed,Natural / Dry,8.08,8.08,8.17,8.33,8.08,8.0,10.0,10.0,10.0,8.33,0.0,87.08,9.8 %,1 full defects,7,Yellow Green,14 full defects,,"April 17th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
